City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Bethel,US,49.5,41.3712,-73.414,Hampton Inn Danbury
11,Longyearbyen,SJ,35.44,78.2186,15.6401,The Vault
13,Albany,US,40.59,42.6001,-73.9662,No hotel found
16,Bose,IT,43.29,45.4612,8.0137,Hotel Ristorante Taverna Verde
23,Torbay,CA,24.28,47.6666,-52.7314,No hotel found
25,Sitka,US,26.49,57.0531,-135.33,Aspen Suites Hotel
26,Kodiak,US,26.11,57.79,-152.4072,Shelikof Lodge
27,Ushuaia,AR,49.66,-54.8,-68.3,Apart Hotel Aires del Beagle
31,Nekhayevskiy,RU,20.39,50.4106,41.7561,No hotel found
34,Pestovo,RU,8.69,58.5938,35.8024,No hotel found
37,Tuktoyaktuk,CA,1.4,69.4541,-133.0374,Hunter's B&B
41,Pemberton,CA,12.56,50.3164,-122.8027,Pemberton Gateway Village Suites Hotel
46,Punta Arenas,CL,48.31,-53.15,-70.9167,Hotel Lacolet
52,Ilulissat,GL,21.22,69.2167,-51.1,Best Western Plus Hotel Ilulissat
55,Fortuna,US,49.35,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
57,Cherskiy,RU,11.08,68.75,161.3,No hotel found
61,Turukhansk,RU,4.96,65.8167,87.9833,"Гостиница ОАО ""Туруханскэнерго"""
63,Mantua,IT,43.41,45.1667,10.7833,No hotel found
68,Barrow,US,28.42,71.2906,-156.7887,No hotel found
70,Nome,US,9.9,64.5011,-165.4064,No hotel found
71,Krasnyy Yar,RU,17.53,46.5331,48.3456,Веранда
72,Northam,GB,38.25,51.0333,-4.2167,Durrant House Hotel
73,Klaksvik,FO,49.12,62.2266,-6.589,Hotel Klaksvik
78,Egvekinot,RU,12.38,66.3167,-179.1667,No hotel found
81,Jamestown,US,31.59,42.097,-79.2353,DoubleTree Jamestown
84,Nikolskoye,RU,22.89,59.7035,30.7861,No hotel found
89,Piranshahr,IR,41.52,36.701,45.1413,هتل چهار ستاره زاگرس
92,Aksay,RU,25.25,47.26,39.87,Парк-отель Аксай
94,Balkhash,KZ,20.01,46.844,74.9804,Гостиница
95,Havre-Saint-Pierre,CA,33.51,50.2334,-63.5986,Complexe MV
100,Tasiilaq,GL,37.56,65.6145,-37.6368,Angmagssalik
102,Capreol,CA,27.55,46.706,-80.9225,No hotel found
104,Kenai,US,14.14,60.5544,-151.2583,Beluga Lookout Hotel
105,Great Yarmouth,GB,44.85,52.6083,1.7305,Classic Lodge
106,Harnosand,SE,34.0,62.6323,17.9379,No hotel found
113,Ancud,CL,46.44,-41.8697,-73.8203,Cabañas
117,Sistranda,NO,35.56,63.7256,8.834,Hotell Frøya
120,Oswego,US,35.91,43.4501,-76.1497,No hotel found
122,Ostrovnoy,RU,24.19,68.0531,39.5131,No hotel found
124,Maryville,US,41.25,35.7565,-83.9705,Main lodge
131,Mujiayingzi,CN,10.33,42.1167,118.7833,No hotel found
132,Akkermanovka,RU,1.18,51.2467,58.2391,No hotel found
133,Erenhot,CN,3.18,43.6475,111.9767,Oulen hotel
134,Korem,ET,44.94,12.5058,39.5228,No hotel found
142,Provideniya,RU,28.51,64.3833,-173.3,No hotel found
145,Souris,CA,1.26,49.6172,-100.2612,No hotel found
148,Saint George,US,48.94,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
150,Polunochnoye,RU,5.52,60.8697,60.4153,No hotel found
153,Yarensk,RU,18.39,62.1675,49.0916,"Гостиница ""Околица"""
155,Coihaique,CL,46.35,-45.5752,-72.0662,No hotel found
159,Nanortalik,GL,26.91,60.1432,-45.2371,Kap Farvel
165,Kedrovyy,RU,0.01,56.1667,91.8167,No hotel found
170,Pevek,RU,9.09,69.7008,170.3133,No hotel found
173,Zandvoort,NL,41.95,52.3749,4.5341,Hotel Faber
174,Yumen,CN,11.73,40.2833,97.2,No hotel found
176,Leningradskiy,RU,13.14,69.3833,178.4167,No hotel found
177,Vestmannaeyjar,IS,45.03,63.4427,-20.2734,Hotel Vestmannaeyjar
178,Pulandian,CN,22.71,39.3953,121.9669,No hotel found
180,Shenjiamen,CN,48.81,29.9576,122.298,Zhonghan Hotel
186,Fukue,JP,46.76,32.6881,128.8419,五島第一ホテル
190,Semenivka,UA,26.94,52.1783,32.5818,No hotel found
192,Alekseyevka,RU,24.8,50.6309,38.6903,Гостиница Тихая Сосна
195,Aklavik,CA,3.16,68.2191,-135.0107,No hotel found
197,Rumia,PL,36.45,54.5709,18.388,Hotel Faltom
199,Vardo,NO,31.98,70.3705,31.1107,Meieriet
200,Atasu,KZ,14.56,48.6814,71.6433,Диана
203,Dikson,RU,22.6,73.5069,80.5464,No hotel found
205,Eureka,US,49.24,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
206,Mahon,ES,46.96,39.8885,4.2658,Eurohotel
208,Kaka,TM,46.2,37.3482,59.6143,No hotel found
211,North Platte,US,26.08,41.1239,-100.7654,Ramada
215,Rapid Valley,US,28.15,44.0625,-103.1463,Sleep Inn & Suites
220,Upernavik,GL,7.18,72.7868,-56.1549,No hotel found
223,Kolomak,UA,29.43,49.8399,35.3044,No hotel found
224,Hofn,IS,47.62,64.2539,-15.2082,Guesthouse Dyngja
228,Rorvik,NO,37.51,64.8621,11.2373,Kysthotellet Rørvik
232,Senneterre,CA,25.5,48.3835,-77.2328,No hotel found
233,Hami,CN,12.76,42.8,93.45,No hotel found
237,Palmer,US,47.91,42.1584,-72.3287,No hotel found
243,Kangaatsiaq,GL,17.55,68.3065,-53.4641,No hotel found
245,Horki,BY,18.12,54.2861,30.9842,Проня
248,Lavrentiya,RU,18.99,65.5833,-171.0,Фортуна
258,Olafsvik,IS,43.27,64.8945,-23.7142,North Star Hotel Snæfellsnes
264,Somerset,US,47.01,40.5668,-74.5496,Hilton Garden Inn Bridgewater
276,Hamilton,US,32.81,39.1834,-84.5333,North Vista Manor
277,Faya,SA,48.72,18.3851,42.4509,No hotel found
279,Nivala,FI,26.69,63.9167,24.9667,Hotelli-Ravintola Puustelli
282,Macesu De Jos,RO,38.98,43.8833,23.7167,No hotel found
285,Creston,US,19.33,41.0586,-94.3614,No hotel found
287,Nemuro,JP,29.62,43.3236,145.575,イーストハーバーホテル
294,Awbari,LY,49.15,26.5921,12.7805,فندق اوباري
295,Lasa,IT,32.02,46.6166,10.7002,"Hotel ""Drei Kreuz"""
298,Fuyang,CN,33.17,32.9,115.8167,天诚宾馆
300,Fairbanks,US,3.6,64.8378,-147.7164,Westmark Fairbanks Hotel
303,Bijie,CN,32.81,27.3125,105.2942,福朋喜来登酒店
314,Tortoli,IT,48.02,39.9256,9.6572,La Corte
316,Muhos,FI,26.89,64.808,25.9931,No hotel found
317,Husavik,IS,41.94,66.0449,-17.3389,Fosshótel Húsavík
318,Sabirabad,AZ,40.91,40.0095,48.4752,Mugan Park Hotel
320,La Ferte-Bernard,FR,40.62,48.1863,0.6536,Le stade
322,Berlevag,NO,32.0,70.8578,29.0864,No hotel found
324,Sioux Lookout,CA,12.27,50.1001,-91.917,Wellington Inn & Restaurant
326,Kez,RU,15.13,57.8979,53.7152,No hotel found
327,Anapskaya,RU,35.83,44.89,37.38,Red Hotel
328,Vrsac,RS,41.92,45.1167,21.3036,Хотел Србија
329,Aksu,CN,15.3,41.1231,80.2644,Akesu Tianyuan International Hotel
333,Handan,CN,29.17,36.6006,114.4678,CongTai Hotel
335,Anaconda,US,29.39,46.1285,-112.9423,Hickory House Inn
342,Izberbash,RU,42.85,42.5696,47.8645,Релакс
343,Severo-Kurilsk,RU,29.57,50.6789,156.125,"""Дом рыбака"""
353,Lososina,RU,3.54,48.9975,140.3106,Гостинный Двор
354,Sorland,NO,40.86,67.667,12.6934,Fagmek Resorts
355,Roald,NO,41.76,62.5833,6.1333,No hotel found
356,Margate,GB,48.69,51.3813,1.3862,The Reading Rooms
359,Khash,IR,49.89,28.2211,61.2158,No hotel found
364,Payson,US,38.37,40.0444,-111.7321,Wee Blue Inn
368,Jackson,US,45.39,42.4165,-122.8345,Brookside
370,Narsaq,GL,28.62,60.9167,-46.05,Hotel Narsaq
371,Tatarbunary,UA,34.25,45.8373,29.6142,No hotel found
376,Malartic,CA,28.51,48.1335,-78.1328,No hotel found
379,Khani,GE,44.17,41.9563,42.9566,No hotel found
392,Johnstown,US,33.78,40.3267,-78.922,Holiday Inn
396,Port Hardy,CA,30.38,50.6996,-127.4199,No hotel found
400,Saint-Francois,FR,41.68,46.4154,3.9054,No hotel found
401,Haines Junction,CA,0.18,60.7522,-137.5108,Parkside Inn
407,Atikokan,CA,12.76,48.7555,-91.6216,No hotel found
410,Batman,TR,49.8,37.8874,41.1322,Atlıhan Park Otel
412,Ketchikan,US,23.47,55.3422,-131.6461,Cape Fox Lodge
416,Karasjok,NO,23.65,69.4719,25.5112,Scandic Karasjok
421,Broome,US,35.91,42.2506,-75.833,No hotel found
430,Wajima,JP,41.68,37.4,136.9,八汐
434,Hashtrud,IR,40.32,37.4779,47.0508,No hotel found
435,Beringovskiy,RU,28.72,63.05,179.3167,No hotel found
436,Muros,ES,45.84,42.7762,-9.0603,Pensión Ría de Muros
439,Tsagan Aman,RU,22.15,47.5639,46.7218,No hotel found
446,Tilichiki,RU,32.31,60.4667,166.1,Тиличики
456,Shitanjing,CN,10.99,39.2342,106.3439,No hotel found
462,Chino Valley,US,47.73,34.7575,-112.4538,Days Inn by Wyndham Chino Valley
463,Homer,US,28.8,59.6425,-151.5483,Driftwood Inn & Homer Seaside Lodges
464,Borgustanskaya,RU,24.6,44.0547,42.5288,No hotel found
465,Asau,RO,31.28,46.4333,26.4,No hotel found
466,Groningen,NL,42.17,53.25,6.75,No hotel found
472,Palafrugell,ES,44.35,41.9174,3.1631,Hostal Plaja
473,Lengshuitan,CN,32.88,26.4111,111.5956,No hotel found
476,Portree,GB,48.52,57.4129,-6.1942,Portree Hotel
477,Portland,US,43.21,45.5234,-122.6762,the Hoxton
479,Plouzane,FR,39.25,48.3833,-4.6167,No hotel found
481,Lezajsk,PL,34.12,50.2626,22.4193,U Braci Zygmuntów
482,Kurdzhinovo,RU,43.2,43.9884,40.9552,No hotel found
493,Brae,GB,48.18,60.3964,-1.353,Brae Hotel
499,Port-Cartier,CA,32.22,50.0334,-66.8654,No hotel found
505,Yingcheng,CN,34.9,30.95,113.55,No hotel found
506,Dvurechensk,RU,10.78,56.5982,61.0953,No hotel found
510,Arkhangelsk,RU,15.91,64.5401,40.5433,Серафима
514,Saint Anthony,US,15.73,45.0205,-93.218,Delta Hotels by Marriott
516,Mayo,US,47.95,38.8876,-76.5119,No hotel found
520,Ucluelet,CA,34.09,48.9329,-125.5528,Black Rock Oceanfront Resort
531,Lincoln,US,23.14,40.8,-96.667,New Victorian Suites Lincoln
534,Walbrzych,PL,30.49,50.7714,16.2843,Centrum hotelowo-biurowe DAKS
536,Polson,US,29.48,47.6936,-114.1632,Bayview Inn
544,Salina,US,28.94,38.8403,-97.6114,Baymont
545,Vincennes,FR,41.94,48.85,2.4333,Le Home
549,Satis,RU,7.56,54.9229,43.2298,No hotel found
550,Shizunai,JP,30.09,42.3339,142.3669,新冠温泉レ・コードの湯　ホテルヒルズ
551,Salsk,RU,29.03,46.4725,41.5428,Санси
553,Anadyr,RU,30.7,64.75,177.4833,Гостевой дом
556,Ganzhou,CN,32.56,28.8184,115.4327,No hotel found
560,Andenes,NO,39.18,69.3143,16.1194,Andrikken hotell
562,Carndonagh,IE,49.48,55.25,-7.2667,No hotel found
572,Sisimiut,GL,14.94,66.9395,-53.6735,Sømandshjemmet
577,Requena,ES,45.79,39.4883,-1.1004,Hotel Avenida
583,Civitavecchia,IT,49.57,42.0933,11.7967,Hotel San Giorgio Civitavecchia
584,Macusani,PE,37.76,-14.0833,-70.4333,Hotel Imperial
588,Birjand,IR,39.67,32.8663,59.2211,مهمانسرای جهانگردی بیرجند
591,Klamath Falls,US,35.51,42.2249,-121.7817,Fairfield Inn & Suites Klamath Falls
595,Kemijarvi,FI,25.5,66.7131,27.4306,Hotelli Kemijärvi
596,Petropavlovsk-Kamchatskiy,RU,30.79,53.0452,158.6483,Авача
597,Terme,TR,49.93,41.2092,36.9739,No hotel found
601,Zhanakorgan,KZ,21.49,43.9098,67.2495,No hotel found
602,Nagato,JP,47.44,34.3833,131.2,きらく
606,Ustrzyki Dolne,PL,30.99,49.4304,22.5938,Hotel Strwiąż
607,Brun,AM,31.26,39.5349,46.3073,"""Yeghevnut"" Hotel"
610,Jumla,NP,43.95,29.2747,82.1838,Amar Sandesh Guesthouse
618,Susanville,US,39.04,40.4163,-120.653,Best Western Plus
619,Kautokeino,NO,22.51,69.0125,23.0412,Thon Hotel Kautokeino
624,Landeck,AT,35.62,47.1301,10.5636,Hotel Sonne
625,Novyy Yegorlyk,RU,28.96,46.3927,41.8716,No hotel found
633,Tunceli,TR,46.42,39.1083,39.5471,Has Otel
634,Marathon,US,15.55,44.9,-89.7668,No hotel found
635,Warrington,GB,43.52,53.3925,-2.5802,Travelodge
638,Hibbing,US,10.56,47.4272,-92.9377,Hibbing Park Hotel
639,Beyneu,KZ,22.12,45.3167,55.2,Johan yu
641,Riverton,US,39.7,40.5219,-111.9391,Ramada by Wyndham Draper
643,Emba,KZ,11.91,48.8264,58.1442,No hotel found
645,Marfino,RU,9.09,55.7028,37.3822,Можайская
648,Timmins,CA,24.62,48.4669,-81.3331,The Senator Hotel & Conference Centre
649,Paamiut,GL,24.73,61.994,-49.6678,Hotel Ivaana
651,Zhezkazgan,KZ,15.78,47.8043,67.7144,KENGIR
