City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bethel,US,41.3712,-73.414,49.5,55,75,19.57,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,64.09,99,100,11.99,moderate rain
2,Lebu,CL,-37.6167,-73.65,53.15,76,0,22.01,clear sky
3,Kefamenanu,ID,-9.4467,124.4781,84.34,60,89,1.68,overcast clouds
4,Prokudskoye,RU,55.0089,82.4574,-2.33,71,0,4.47,clear sky
5,Cape Town,ZA,-33.9258,18.4232,70.38,81,100,2.62,overcast clouds
6,Busselton,AU,-33.65,115.3333,70.12,61,69,7.81,broken clouds
7,Bluff,NZ,-46.6,168.3333,50.81,64,44,20.78,scattered clouds
8,Georgetown,MY,5.4112,100.3354,84.13,80,20,6.91,few clouds
9,Encruzilhada Do Sul,BR,-30.5439,-52.5219,66.69,87,100,9.26,overcast clouds
10,Faanui,PF,-16.4833,-151.75,80.49,77,18,13.87,few clouds
11,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,8.05,broken clouds
12,Chiredzi,ZW,-21.05,31.6667,61.81,68,0,3.15,clear sky
13,Albany,US,42.6001,-73.9662,40.59,73,52,12.21,broken clouds
14,Esperance,AU,-33.8667,121.9,82.54,36,0,13.44,clear sky
15,Gornopravdinsk,RU,60.05,69.9,-14.44,96,77,3.04,broken clouds
16,Bose,IT,45.4612,8.0137,43.29,81,96,0.22,overcast clouds
17,Storrs,US,41.8084,-72.2495,50.95,79,100,10.36,overcast clouds
18,San Cristobal,VE,7.7669,-72.225,66.38,96,53,4.29,broken clouds
19,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,20,10.36,few clouds
20,Santa Rosa,PH,14.3122,121.1114,85.1,90,100,13.51,light rain
21,Healdsburg,US,38.6105,-122.8692,52.52,77,100,4.61,overcast clouds
22,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.41,95,90,2.66,overcast clouds
23,Torbay,CA,47.6666,-52.7314,24.28,62,1,9.42,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,60,5.99,broken clouds
25,Sitka,US,57.0531,-135.33,26.49,43,0,9.22,clear sky
26,Kodiak,US,57.79,-152.4072,26.11,74,100,4.61,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,49.66,46,20,9.22,few clouds
28,Tapes,BR,-30.6733,-51.3958,71.53,89,91,13.78,overcast clouds
29,Rio Gallegos,AR,-51.6226,-69.2181,51.85,46,75,6.91,broken clouds
30,Hilo,US,19.7297,-155.09,85.28,85,0,6.91,clear sky
31,Nekhayevskiy,RU,50.4106,41.7561,20.39,58,53,8.08,broken clouds
32,Chokurdakh,RU,70.6333,147.9167,-3.3,96,100,8.43,overcast clouds
33,Thompson,CA,55.7435,-97.8558,-21.1,96,13,4.94,few clouds
34,Pestovo,RU,58.5938,35.8024,8.69,95,84,4.03,broken clouds
35,Baruun-Urt,MN,46.6806,113.2792,-5.53,71,1,13.56,clear sky
36,Rikitea,PF,-23.1203,-134.9692,73.08,73,72,13.13,broken clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,75,9.22,light snow
38,Mataura,NZ,-46.1927,168.8643,50.49,67,92,8.34,overcast clouds
39,Talnakh,RU,69.4865,88.3972,-3.26,100,98,4.32,overcast clouds
40,Yaan,NG,7.3833,8.5667,72.59,29,95,2.57,overcast clouds
41,Pemberton,CA,50.3164,-122.8027,12.56,95,100,6.76,overcast clouds
42,Champasak,LA,14.75,106.0,81.46,68,100,1.59,overcast clouds
43,Codrington,AU,-38.2667,141.9667,62.47,69,78,12.26,broken clouds
44,New Norfolk,AU,-42.7826,147.0587,61.72,32,13,1.32,few clouds
45,Cidreira,BR,-30.1811,-50.2056,70.36,95,100,19.84,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,48.31,57,20,29.93,few clouds
47,Hithadhoo,MV,-0.6,73.0833,80.94,69,65,7.34,broken clouds
48,Kapaa,US,22.0752,-159.319,80.92,73,0,18.41,clear sky
49,Pangai,TO,-19.8,-174.35,80.6,78,31,12.19,scattered clouds
50,Khatanga,RU,71.9667,102.5,-23.57,94,100,8.08,overcast clouds
51,Kaitangata,NZ,-46.2817,169.8464,58.32,62,69,11.1,broken clouds
52,Ilulissat,GL,69.2167,-51.1,21.22,79,100,24.16,light shower snow
53,Bondo,CD,3.8146,23.6866,68.14,99,100,1.81,overcast clouds
54,Trairi,BR,-3.2778,-39.2689,78.78,73,48,9.15,light rain
55,Fortuna,US,40.5982,-124.1573,49.35,94,100,17.27,moderate rain
56,Tiksi,RU,71.6872,128.8694,-12.12,99,100,15.08,overcast clouds
57,Cherskiy,RU,68.75,161.3,11.08,95,100,6.31,light snow
58,Mocuba,MZ,-16.8392,36.9856,65.95,96,88,3.2,overcast clouds
59,Isabela,PH,6.7085,121.9711,84.87,69,41,4.65,scattered clouds
60,Vao,NC,-22.6667,167.4833,79.61,79,31,7.0,scattered clouds
61,Turukhansk,RU,65.8167,87.9833,4.96,94,100,13.09,overcast clouds
62,Port Alfred,ZA,-33.5906,26.891,65.17,94,100,0.67,overcast clouds
63,Mantua,IT,45.1667,10.7833,43.41,89,39,1.01,scattered clouds
64,Bambous Virieux,MU,-20.3428,57.7575,73.22,72,76,6.11,broken clouds
65,Namatanai,PG,-3.6667,152.4333,86.7,62,87,6.08,overcast clouds
66,Butaritari,KI,3.0707,172.7902,81.55,76,30,12.91,scattered clouds
67,Chilca,PE,-12.5211,-76.7372,65.93,87,58,5.46,broken clouds
68,Barrow,US,71.2906,-156.7887,28.42,86,100,10.36,overcast clouds
69,Fare,PF,-16.7,-151.0167,80.02,78,32,14.25,scattered clouds
70,Nome,US,64.5011,-165.4064,9.9,97,8,6.69,clear sky
71,Krasnyy Yar,RU,46.5331,48.3456,17.53,35,0,8.12,clear sky
72,Northam,GB,51.0333,-4.2167,38.25,85,13,6.31,few clouds
73,Klaksvik,FO,62.2266,-6.589,49.12,97,100,30.04,light rain
74,Aguimes,ES,27.9054,-15.4461,63.66,59,20,8.05,few clouds
75,Kruisfontein,ZA,-34.0033,24.7314,61.88,87,33,0.92,scattered clouds
76,Taoudenni,ML,22.6783,-3.9836,62.15,23,5,9.31,clear sky
77,Hobart,AU,-42.8794,147.3294,62.06,50,75,9.22,broken clouds
78,Egvekinot,RU,66.3167,-179.1667,12.38,94,100,2.39,overcast clouds
79,Salalah,OM,17.0151,54.0924,71.69,64,0,2.3,clear sky
80,Hasaki,JP,35.7333,140.8333,52.2,76,100,17.43,overcast clouds
81,Jamestown,US,42.097,-79.2353,31.59,82,100,19.57,overcast clouds
82,Avarua,CK,-21.2078,-159.775,80.65,78,75,17.27,broken clouds
83,Carnarvon,AU,-24.8667,113.6333,75.09,63,7,9.22,clear sky
84,Nikolskoye,RU,59.7035,30.7861,22.89,89,97,3.38,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,62.78,78,8,3.58,clear sky
86,Watsa,CD,3.0372,29.5355,62.98,98,99,1.97,overcast clouds
87,Airai,TL,-8.9266,125.4092,72.03,67,82,2.15,broken clouds
88,Grand Baie,MU,-20.0182,57.5802,73.45,75,69,3.0,broken clouds
89,Piranshahr,IR,36.701,45.1413,41.52,96,100,1.79,overcast clouds
90,Laguna,US,38.421,-121.4238,53.96,62,0,5.75,clear sky
91,Castro,BR,-24.7911,-50.0119,59.7,98,57,4.36,broken clouds
92,Aksay,RU,47.26,39.87,25.25,34,44,18.01,scattered clouds
93,Solenzo,BF,12.1833,-4.0833,74.12,17,18,4.61,few clouds
94,Balkhash,KZ,46.844,74.9804,20.01,100,100,11.18,mist
95,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.51,84,100,27.36,light snow
96,Hambantota,LK,6.1241,81.1185,77.13,84,97,6.24,overcast clouds
97,Bitung,ID,1.4451,125.1824,88.65,76,99,3.38,overcast clouds
98,Atuona,PF,-9.8,-139.0333,78.1,74,83,12.41,broken clouds
99,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,32,7.85,scattered clouds
100,Tasiilaq,GL,65.6145,-37.6368,37.56,92,96,15.08,overcast clouds
101,Victoria,HK,22.2855,114.1577,62.33,73,100,11.01,overcast clouds
102,Capreol,CA,46.706,-80.9225,27.55,67,78,15.79,broken clouds
103,Rundu,NA,-17.9333,19.7667,69.73,41,20,6.24,few clouds
104,Kenai,US,60.5544,-151.2583,14.14,87,100,6.91,overcast clouds
105,Great Yarmouth,GB,52.6083,1.7305,44.85,86,7,8.59,clear sky
106,Harnosand,SE,62.6323,17.9379,34.0,91,98,3.94,overcast clouds
107,Yellowknife,CA,62.456,-114.3525,-21.44,74,100,4.0,overcast clouds
108,Vila Velha,BR,-20.3297,-40.2925,75.15,97,75,9.22,mist
109,Angoche,MZ,-16.2325,39.9086,72.84,85,100,5.41,overcast clouds
110,Broken Hill,AU,-31.95,141.4333,75.94,29,70,16.53,broken clouds
111,East London,ZA,-33.0153,27.9116,70.39,90,100,1.99,overcast clouds
112,Ust-Tsilma,RU,65.441,52.1498,-5.01,100,100,3.29,overcast clouds
113,Ancud,CL,-41.8697,-73.8203,46.44,79,3,6.35,clear sky
114,Alofi,NU,-19.0595,-169.9187,85.89,70,40,1.14,scattered clouds
115,Ponta Do Sol,PT,32.6667,-17.1,69.71,76,71,9.31,light rain
116,Baykit,RU,61.67,96.37,-1.91,97,100,3.27,overcast clouds
117,Sistranda,NO,63.7256,8.834,35.56,90,100,7.74,light rain
118,Miri,MY,4.4148,114.0089,76.46,92,100,5.08,overcast clouds
119,Victor Harbor,AU,-35.5667,138.6167,71.67,72,1,1.99,clear sky
120,Oswego,US,43.4501,-76.1497,35.91,67,87,19.8,overcast clouds
121,Yulara,AU,-25.2406,130.9889,85.64,13,0,8.57,clear sky
